NUMERO DE INVENTARIO ;DENOMINACAO DE IMOBILIZADO;incorporacao em;IDADES DOS  INTENS ;LOCALIZACAO;LOCALIZACAO_NO_SAP
1287810;BANCO P/JARDIM DE POLIETILENO C/ENCOSTO - FRESO;19/12/2018;5;11170013;A_CLASSIFICAR
1314973;CADEIRA UNIV. AMAR. C/PRANCHETA-DESTRO;23/07/2019;4;11170013;A_CLASSIFICAR
1054500;CARRO PLATAFORMA-800KG;05/09/2012;11;11170013;A_CLASSIFICAR
1218678;CONJ. BALDE/ESPREMEDOR PLASTICO - PITAIEX;13/12/2016;7;11170013;A_CLASSIFICAR
1219431;CORTADOR DE GRAMA A GASOLINA 6,0HP / KAWASHIMA;04/01/2017;7;11170013;A_CLASSIFICAR
1566376;APARELHO ABDOMINAL ACABAMENTO PRETO;30/04/2024;0;11170034;A_CLASSIFICAR
1566375;APARELHO REMADA SENTADO C/APOIO - PRETO;30/04/2024;0;11170034;A_CLASSIFICAR
1301543;CAT Maria Ap. J. P. Menezes - Barretos;01/12/2016;7;11170034;A_CLASSIFICAR
1301407;CAT Maria Ap. J. P.Menezes - Barretos;27/08/2011;12;11170034;A_CLASSIFICAR
1552361;LIXADEIRA ROTO ORBITAL 220V;28/03/2024;0;11170034;A_CLASSIFICAR
1566380;MAQUINA GRAVITON;30/04/2024;0;11170034;A_CLASSIFICAR
1566381;MAQUINA POLIA ALTA SIMPLES COR PRETA;30/04/2024;0;11170034;A_CLASSIFICAR
1566382;MAQUINA POLIA ALTA SIMPLES COR PRETA;30/04/2024;0;11170034;A_CLASSIFICAR
1541271;MESA DE PEBOLIM OFICIAL;23/02/2024;0;11170034;A_CLASSIFICAR
1541272;MESA DE PEBOLIM OFICIAL;23/02/2024;0;11170034;A_CLASSIFICAR
1541273;MESA DE PEBOLIM OFICIAL;23/02/2024;0;11170034;A_CLASSIFICAR
1541274;MESA DE PEBOLIM OFICIAL;23/02/2024;0;11170034;A_CLASSIFICAR
1566377;PROJETOR MULTIMIDIA P/SALAS;30/04/2024;0;11170034;A_CLASSIFICAR
1566378;SUPORTE P/DUMBELLS E DUMBELLS;30/04/2024;0;11170034;A_CLASSIFICAR
1566379;TORRE VERTICAL P/HALTERES;30/04/2024;0;11170034;A_CLASSIFICAR
1161915;ARMARIO DE ACO C/04 VAOS CINZA CLARO-SCHEFFER;15/05/2014;10;11170035;PORTARIA
1287811;BANCO P/JARDIM DE POLIETILENO C/ENCOSTO - FRESO;19/12/2018;5;11170035;PORTARIA
1116838;BEBEDOURO ELETRICO DE MESA P/ GARRAFAO;22/08/2013;10;11170035;PORTARIA
1206241;CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP;09/04/2015;9;11170035;PORTARIA
1206264;CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP;09/04/2015;9;11170035;PORTARIA
1389421;CATRACA INTERNA C/PEDESTAL HENRY-LUMEN;19/07/2021;2;11170035;PORTARIA
1389422;CATRACA INTERNA C/PEDESTAL HENRY-LUMEN;19/07/2021;2;11170035;PORTARIA
1389423;CATRACA INTERNA C/PEDESTAL HENRY-LUMEN;19/07/2021;2;11170035;PORTARIA
1389424;CATRACA INTERNA C/PEDESTAL HENRY-LUMEN;19/07/2021;2;11170035;PORTARIA
1368437;IMPRESSORA TERMICA DE ETIQUETAS QRCODE;11/01/2021;3;11170035;PORTARIA
1226006;MICROCOMPUTADOR PARA LIE (ANEXO) - DELL;17/02/2017;7;11170035;PORTARIA
1227377;MONITOR DE VIDEO 21,5 POLEGADAS - DELL;28/02/2017;7;11170035;PORTARIA
1517997;RADIO TRANSCEPTOR 900MHZ;29/08/2023;0;11170035;PORTARIA
1177644;RADIO TRANSCEPTOR UHF/FM 900MHZ-MOTOROLA;01/08/2014;9;11170035;PORTARIA
829281;SWITCH 24 PT-3COM;19/10/2009;14;11170035;PORTARIA
1223876;ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC;11/02/2017;7;11170036;SECRETARIA
1223877;ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC;11/02/2017;7;11170036;SECRETARIA
1223882;ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC;11/02/2017;7;11170036;SECRETARIA
1223884;ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC;11/02/2017;7;11170036;SECRETARIA
1226170;ARMARIO BAIXO 2 PRATELEIRAS - MODILAC;20/02/2017;7;11170036;SECRETARIA
1226172;ARMARIO BAIXO 2 PRATELEIRAS - MODILAC;20/02/2017;7;11170036;SECRETARIA
1226173;ARMARIO BAIXO 2 PRATELEIRAS - MODILAC;20/02/2017;7;11170036;SECRETARIA
1226174;ARMARIO BAIXO 2 PRATELEIRAS - MODILAC;20/02/2017;7;11170036;SECRETARIA
1226178;ARMARIO BAIXO 2 PRATELEIRAS - MODILAC;20/02/2017;7;11170036;SECRETARIA
1226188;ARMARIO BAIXO 2 PRATELEIRAS - MODILAC;20/02/2017;7;11170036;SECRETARIA
1219429;ARMARIO BAIXO 880X800X500MM 2 PRAT./KROLL;05/01/2017;7;11170036;SECRETARIA
1219430;ARMARIO BAIXO 880X800X500MM 2 PRAT./KROLL;05/01/2017;7;11170036;SECRETARIA
1162614;ARQUIVO DE ACO C/GAVETAS P/PASTA SUSP-TSW;19/05/2014;9;11170036;SECRETARIA
1162615;ARQUIVO DE ACO C/GAVETAS P/PASTA SUSP-TSW;19/05/2014;9;11170036;SECRETARIA
1226224;ARQUIVO DE ACO C/GAVETAS P/PASTA SUSP. - ARMAZENA;23/02/2017;7;11170036;SECRETARIA
1226225;ARQUIVO DE ACO C/GAVETAS P/PASTA SUSP. - ARMAZENA;23/02/2017;7;11170036;SECRETARIA
1226226;ARQUIVO DE ACO C/GAVETAS P/PASTA SUSP. - ARMAZENA;23/02/2017;7;11170036;SECRETARIA
