numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1154718,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154719,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154720,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154721,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154722,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154723,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154724,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154725,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154726,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154727,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154728,1,ARMARIO DE ACO C/02 VAOS CINZA/ VERMELHO-WRP,11/04/2014
1154693,1,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1154694,1,ARMARIO DE ACO C/02 VAOS CINZA/VERMELHO-WRP,11/04/2014
1455385,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455386,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455388,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455389,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455390,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455391,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455392,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1455393,1,CADEIRA CONCHA INFANTIL VERMELHA,23/06/2022
1230302,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230303,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230308,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230310,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230318,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230320,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230336,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230342,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230347,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230349,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230350,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230351,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230352,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230354,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230355,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230356,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230357,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230358,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230359,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230362,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230363,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230364,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230370,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1230372,1,CADEIRA CONCHA INFANTIL VERMELHA/ CEQUIPEL,08/03/2017
1206245,1,CADEIRA GIRATORIA P/STAFF TECIDO PRETO - WRP,09/04/2015
1352900,1,FLIP CHART 700 X 1000MM ALUMINIO,30/06/2020
1195643,1,MESA EM L C/COMPLEMENTO CIRCULAR - LACHI,16/12/2014
1223783,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223785,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223786,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223787,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223788,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223790,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1223791,1,MESA SEXTAVADA P/BORDA VER./MODILAC,11/02/2017
1227302,1,MICROCOMPUTADOR ADMINISTRATIVO BASICO - DELL,17/02/2017
1227347,1,"MONITOR DE VIDEO 21,5 POLEGADAS - DELL",28/02/2017
1222944,1,PROJETOR MULTIMIDIA P/SALAS COM SUPORTE/ EPSON,14/02/2017
1220765,1,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
1220766,1,QUADRO BRANCO MAGNETICO 2000X1200MM/SOUZA,18/01/2017
